fnid,residential_density,landusemix,open_ratio,intersections_destiny,center,airport,railway,dock,coach,trans_count,sport_count,public_count,company_count,hospital_count,govern_count,life_count,edu_count,shopping_count,finance_count,attractions_count,food_service_count,cityBranch,cycleway,freeway,innerRoad,mainRoad,notBuiltRoad,sideWalks,subrbanRoad,urbunSecondary
8978,0.000132632,0.567398965,0,0.148148148,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7907,0.018547911,0.658074561,0.063803333,0.027777778,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11498,0.041804088,0.771400177,0,0.657407407,0.180612197,0.199132379,0.071823703,0.050372569,0.072932331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.941465376,0,0,0,0.058534624
18639,0.008565419,0.725496824,0,0.074074074,0.067065372,0.154255598,0.178270775,0.150165561,0.100398413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13303,0.000491587,0.521479343,0.691596667,0.064814815,0.259505561,0.245407197,0.182059525,0.097154329,0.167958622,0.063492064,0.063492064,0.015873016,0.095238096,0.031746032,0.015873016,0.111111111,0.031746032,0.063492064,0,0,0.53968254,1,0,0,0,0,0,0,0,0
7199,2.72969E-05,0.039053377,0.987152222,0,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15789,0.053447324,0.806752578,0.008748889,0.398148148,0.217121835,0.215931949,0.114523006,0.058061909,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.390758889,0,0.529846535,0,0.079394575,0,0
4334,0.000301207,0.47797807,0,0.041666667,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15797,0.691112785,0.583355838,0.129915556,0.092592593,0.236143381,0.22374952,0.145360162,0.076099439,0.094764818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7190,0.003880666,0.36601802,0.095795556,0.037037037,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3630,0.001881005,0.562513605,0.140751111,0.157407407,0.281571909,0.239346078,0.160878151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189060957,0.810939043,0,0,0,0
14368,0.381817085,0.437018089,0.544462222,0.166666667,0.236235263,0.223787282,0.145449224,0.076055615,0.094942648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17912,0.286402688,0.772131961,0.073733333,0.361111111,0.000907699,0.136379979,0.128349074,0.134376383,0.001583893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18999,0.002851034,0.708961709,0.044817778,0.027777778,0.082342944,0.159126392,0.193079657,0.147405802,0.129966982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11146,0,0.420451403,0.0619025,0.114583333,0.222335472,0.216280021,0.112266978,0.046949374,0.055753897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13989,0.389049632,0.614613495,0.002211111,0.166666667,0.133183773,0.177812183,0.018572835,0.072575153,0.015427092,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3988,0.002699544,0.730750262,0.10134875,0.177083333,0.281571909,0.239346078,0.160878151,0,0,0.416666667,0,0.166666667,0.041666667,0,0.041666667,0,0.083333333,0,0,0,0.25,0,0,0,0,0.778691978,0,0,0,0.221308022
12228,0,0.870917524,0.20982625,0.03125,0.272780891,0.237320011,0.162181365,0.084891452,0.128351346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17571,0.031042257,0.78942857,0.029206667,0.240740741,0.178694362,0.199295399,0.078446451,0.058627722,0.046580326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7206,0.040172903,0.767041984,0.0741,0.259259259,0.281571909,0.239346078,0.160878151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13651,0.02085378,0.537233861,0,0.12962963,0.236005559,0.223692877,0.145226567,0.076165176,0.094498074,0.25,0,0,0.6875,0,0,0,0,0.125,0,0,0,0,0,0.186297252,0,0.301525467,0,0.034211616,0,0.477965665
18994,0.003840495,0.724652498,0.042106667,0.25,0.058807109,0.151979594,0.170333928,0.148249683,0.084431619,0.5,0,0,0.142857143,0.071428571,0,0.142857143,0.142857143,0,0,0,0,0,0,0,0.029238003,0.698012357,0.189147504,0.083602135,0,0
16846,0.008334433,0.581060071,0.564958889,0.064814815,0.040123926,0.148504303,0.109834281,0.121456479,0.009509766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14704,0.384398906,0.679770427,0.023262222,0.231481481,0.133976164,0.179014308,0.022889455,0.071288755,0.006470142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8996,0.234750473,0.579812221,0,0.138888889,0.191061165,0.202639044,0.076918328,0.0454258,0.037115978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11836,0,0.702589722,0.307165556,0.037037037,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0,0,0.333333333,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11492,0.292361135,0.8663585,0.004108889,0.12962963,0.14999111,0.185294949,0.035586101,0.065554103,0.027794497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14714,0.002550887,0.798842301,0.028621111,0.212962963,0.188143917,0.202964002,0.082817327,0.054889215,0.062567507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11137,0.178859788,0.821373169,0,0.12962963,0.16509042,0.192105893,0.052822666,0.05835188,0.047506616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18629,0.139217565,0.767790166,0.122775556,0.148148148,0.018309427,0.140688351,0.138636242,0.137973405,0.009260488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10076,0,0.775221889,0.378368,0.3,0.255136699,0.229760835,0.142707122,0.034827941,0.022599603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12918,0.50680593,0.678874424,0.003423333,0.231481481,0.134653838,0.17843337,0.018380469,0.072609906,0.016109369,0.144927536,0.028985507,0.014492754,0.405797102,0.014492754,0.15942029,0.028985507,0.043478261,0,0,0,0.15942029,0,0,0,0,0,0,0,0,0
4696,0.000522301,0.724666768,0,0.166666667,0.156644179,0.182955957,0.0259787,0.067224213,0.045880916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12563,0.433066474,0.814184206,0,0.138888889,0.140026927,0.181817591,0.029278028,0.068899685,0.006856428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3622,0,0.075690968,0,0.011904762,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14362,0.070350203,0.844579268,0.059095556,0.259259259,0.217121835,0.215931949,0.114523006,0.058061909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6144,0.008881223,0.695374635,0.08916,0.135416667,0.281774885,0.239429498,0.1610749,9.68124E-05,0.000392844,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729654277,0,0,0,0.270345723
