fnid,main_road,inner_road,city_branch,urban_secondary,suburban_road,sidewalks,free_way,cycleway,not_built_road,TRANS,LODGING,SPORT,PUBLIC,COMPANY,HOSPITAL,BUSINESS,INDOOR,MOTO,GOVERN,CAR_SERVICE,CAR_REPAIR,CAR_SALE,LIFE,EDU,SHOPPING,TRANSIT,ROAD,FINANCE,ATTRACTION,FOOD_SERVICE
17823,0.196752692,0.620068361,0,0,0,0,0,0.612805298,0,0.403140944,0,0.313815767,0.134059315,0.080492458,0,0,0,0,0,0,0,0,0.247975505,0,0,0.09896578,0,0,0,0
17937,0.138341737,0.435985566,0.089323416,0.22045778,0,0.187391879,0,0.287252483,0,0.391283857,0,0.101528631,0.086744262,0,0,0,0,0,0.182778818,0,0,0,0.080227369,0.2492176,0,0.128073363,0,0,0,0.073788257
17980,0.081980288,0.172241211,0.211729579,0,0,0.555235197,0.468675215,0,0,0.073909173,0.125364311,0,0,0.531250221,0,0.147723625,0.243918408,0,0,0,0,0,0,0.188297742,0,0,0,0,0,0
18005,0.122970432,0,0.238195776,0.117577483,0,0.499711677,0.351506411,0,0,0.25196309,0,0.117680913,0.033514829,0,0.155523128,0,0.083154003,0,0.035309544,0.080503248,0.050426626,0,0.185981629,0.16048103,0,0.197931561,0,0,0,0.057018199
18009,0,0.586551152,0.154505368,0.038133238,0,0.864366144,0,0,0,0.06928985,0,0.10787417,0,0,0,0.138490898,0,0,0.388404989,0.110691966,0.138673221,0,0,0.176529133,0,0.34019487,0,0,0,0
18262,0.163960577,0.430603028,0.105864789,0.156769977,0,0.333141118,0,0,0,0.095445621,0.062267042,0.022860751,0.00976591,0.064500579,0.283237484,0,0,0,0.051444369,0.05864475,0.044081554,0,0.334192154,0.121582979,0,0.043256566,0,0,0,0.207682181
18327,0,0.387542725,0.714587328,0,0,0,0,0,0,0.212615429,0,0,0,0.048516002,0.210914926,0,0,0,0.085129861,0,0,0,0.298929376,0.212802243,0.089143071,0.074563259,0,0,0,0.137468534
18334,0.163960577,0.516723634,0.063518874,0.282185959,0,0,0,0.204268433,0,0.309387236,0,0.040139226,0.068588487,0.102955469,0.079569972,0.103062994,0,0,0.180653483,0,0,0,0.063435594,0.032842629,0,0.177217793,0,0,0,0.116688407
18381,0.061485216,0.096885681,0.476391552,0,0,0.124927919,0.527259617,0,0,0.344059943,0,0,0.050850085,0.091594866,0,0.076408772,0,0,0.053573102,0.183214289,0.076509363,0,0.094059674,0.097395384,0,0.225232466,0,0,0,0
18708,0.204950721,0,0.317594368,0.352732448,0,0,0,0,0,0.124916912,0,0.012154836,0.041539506,0.187059937,0.108428096,0.078023041,0.051532058,0,0.021881971,0.099778674,0,0.262693529,0.067232795,0.109398336,0,0.137994539,0,0.031764827,0,0.141340887
18727,0,1.550170902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18891,0.245940865,0.775085451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19010,0.109307051,0.861206056,0.211729579,0,0,0,0,0,0,0.237565199,0,0,0.105332319,0.063244074,0,0,0,0,0.332918562,0,0,0,0,0.403495161,0,0.077758828,0,0,0,0.089600027
19092,0.122970432,0,0.238195776,0.705464896,0,0,0,0,0,0.054973765,0.077705151,0,0,0,0.141384661,0,0,0,0.025679669,0,0,0,0.304333574,0.081699433,0.053780531,0.053981335,0,0,0,0.580548932
19111,0.163960577,0,0,0,0,0,1.406025644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19120,0.089433042,0,0.433083229,0,0,0.726853348,0,0,0,0.369545865,0,0,0,0,0,0,0,0,0.517873319,0,0,0,0,0,0,0.362874528,0,0,0,0
19318,0.030742608,0,0,0,0,0,0.790889425,0,1.559688384,0.255839445,0.144651128,0,0,0.136218005,0,0,0,0,0,0.136236266,0.170674733,0.717355407,0,0,0,0.167480552,0,0,0,0
19369,0,0,0.952783103,0,0,0,0,0,0,1.108637595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19444,0.49188173,0,0,0,0,0,0,0,0,0.554318798,0,0,0,0,0,0.553963594,0,0,0,0,0,0,0,0.353058266,0,0,0,0,0,0
19460,0,0,0,0,0,1.998846708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19465,0.49188173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19474,0.065584231,0,0,0.094061986,0,0,1.687230773,0,0,0,0,0,1.474652462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19719,0.327921153,0,0.105864789,0.313539954,0,0,0,0,0,0.178812515,0,0,0.190277737,0.02856184,0.220742504,0,0,0,0.050116773,0,0,0,0.395960887,0.227779526,0,0.03511689,0,0,0,0.040464528
19746,0.163960577,0,0,0,0,1.332564472,0,0,0,0,0,0,0,0,0,0,3.658776114,0,0,0,0,0,0,0,0,0,0,0,0,0
19792,0.245940865,0,0.357293664,0.176366224,0,0,0,0,0,0.085279815,0.041328894,0.018966887,0.032409944,0.07783886,0.187994989,0.097400192,0,0,0.136581974,0,0,0,0.149875305,0.108633313,0.035755188,0.095703172,0,0,0,0.317046248
20182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191,0,1.550170902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20198,0,0,0.158797184,0.705464896,0,0,0.703012822,0,0,0.369545865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362874528,0,0,0,0.418133457
20444,0,0,0,0,0,1.998846708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20499,0.098376346,0,0,0,0,0.399769342,1.26542308,0,0,0,0,0,0.294930492,0,0,0,0,0,0,0,0,0,0,0.282446613,0,0.653174151,0,0,0,0
20514,0.245940865,0,0,0,0,0,0,1.532013244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20543,0.49188173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20633,0.49188173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20777,0.122970432,0,0.476391552,0.352732448,0,0,0,0,0,0.024100817,0,0.018760725,0,0.500453107,0.037190313,0,0,0,0.016887173,0,0,0,0,0.046051078,0,0.07099719,0,0,0,0.340869666
20821,0,0,0.952783103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20881,0,1.550170902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20904,0.409901442,0.258361817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20999,0,1.550170902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21184,0,1.550170902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21229,0.245940865,0,0,0,0,0,0,1.532013244,0,0,0,0,0,0,0,0,3.658776114,0,0,0,0,0,0,0,0,0,0,0,0,0
21473,0.245940865,0,0,0.235154965,0,0,0.703012822,0,0,0.11086376,0.034190267,0.09414473,0,0.346117568,0.046656938,0.080576523,0.033261601,0,0,0,0,0,0.074392651,0.038515447,0,0.059379468,0,0.041005504,0,0.273687354
21540,0.327921153,0.516723634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21547,0.393505384,0,0.190556621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21552,0,0,0.238195776,0,0,0.999423354,0,0.766006622,0,0,0,0,1.474652462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21584,0.49188173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21599,0.245940865,0.775085451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21632,0,0,0,1.410929793,0,0,0,0,0,0.277159399,0,0,0,0.221354259,0,0.276981797,0,0,0.194202495,0,0,0,0,0,0,0.272155896,0,0,0,0
21844,0.210806456,0,0.34027968,0.302342098,0,0,0,0,0,0.150323742,0.031872282,0.117016049,0.124970548,0.210098957,0.086987512,0.037556854,0,0,0.078997625,0.03001816,0,0,0.069349082,0,0,0.055353742,0,0,0,0.276393302
21902,0.409901442,0,0,0,0,0,0.351506411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21925,0.223582604,0,0.173233292,0.25653269,0,0,0.383461539,0,0,0.17055963,0,0,0.037811602,0.408654016,0.087730995,0.170450337,0,0,0,0,0,0.079706156,0.034970905,0.036211104,0,0.055826851,0,0,0,0.128656448
21947,0.223582604,0.211386941,0.129924969,0,0,0,0.19173077,0.557095725,0,0,0,0,0.737326231,0,0,0,0,0,0,0,0,0,0,0,0,0.544311793,0,0,0,0
21958,0,1.550170902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
